Epoch,LearningRate,Loss
0,0.00100000,2.0654476485895645
1,0.00099040,1.8539011417733593
2,0.00096198,1.6311330842343297
3,0.00091582,1.4143287365931976
4,0.00085370,1.233683386285905
5,0.00077801,1.106808017236678
6,0.00069165,0.969792909904889
7,0.00059795,0.8742202999275087
8,0.00050050,0.7776845548942186
9,0.00040305,0.6692205714981464
10,0.00030935,0.6013409724144506
11,0.00022299,0.5278468996055321
12,0.00014730,0.5027891747199386
13,0.00008518,0.45348573140010384
14,0.00003902,0.3822100862651791
15,0.00001060,0.3416267990717113
