,mean,std,min,max,median,mean_diff_from_target,min_diff_from_target,count
Original,1.5243838414005464,0.47733318716099526,0.45777881425043065,1.971740502581623,1.7774319771605285,0.34360088593550875,0.007741735371158409,21.0
Scipy,1.524383841400554,0.4773331871609984,0.457778814250428,1.9717405025817212,1.7774319771604947,0.34360088593551225,0.007741735371169733,21.0
Normalized,1.5243838414005464,0.47733318716099526,0.45777881425043077,1.971740502581624,1.777431977160529,0.34360088593550886,0.007741735371158631,21.0
Robust,1.5243838414005468,0.4773331871609954,0.45777881425043065,1.971740502581624,1.7774319771605283,0.34360088593550897,0.007741735371158631,21.0
Absolute,1.6337739524631116,0.28989168160242207,1.0859773299202078,1.971740502581623,1.7774319771605285,0.23421077487294387,0.007741735371158409,21.0
Squared,1.4639878851834696,0.3418371768362059,0.8987668451134107,1.9441590931688504,1.5961252965211374,0.3413551469130186,0.005287229454701503,21.0
Weighted,0.7981814192840294,0.24933894989208696,0.10666654421224411,0.9928781070429923,0.9171571476144751,0.9677185807159706,0.7730218929570077,21.0
Enhanced,1.3934249090566067,0.11920026956390081,1.1477971567440655,1.5623716929301912,1.4214382080935104,0.3724750909433932,0.20352830706980884,21.0
Covariance,1.524383841400547,0.4773331871609941,0.4577788142504326,1.9717405025816312,1.7774319771605458,0.3436008859355081,0.00774173537115197,21.0
Normalized_+2,3.5243838414005473,0.4773331871609952,2.457778814250431,3.971740502581623,3.7774319771605285,1.7584838414005468,0.6918788142504309,21.0
