image,Original,Original_diff,Scipy,Scipy_diff,Normalized,Normalized_diff,Robust,Robust_diff,Absolute,Absolute_diff,Squared,Squared_diff,Weighted,Weighted_diff,Enhanced,Enhanced_diff,Covariance,Covariance_diff,Normalized_+2,Normalized_+2_diff
IR1,1.669547926777811,0.09635207322218897,1.6695479267778142,0.09635207322218586,1.669547926777811,0.09635207322218897,1.669547926777811,0.09635207322218897,1.669547926777811,0.09635207322218897,1.4327498392218248,0.3331501607781753,0.8770468370642046,0.8888531629357954,1.5623716929301912,0.20352830706980884,1.6695479267778113,0.09635207322218875,3.669547926777811,1.903647926777811
IR2,1.7912241953867114,0.02532419538671138,1.791224195386743,0.02532419538674291,1.7912241953867118,0.025324195386711823,1.791224195386712,0.025324195386712045,1.7912241953867114,0.02532419538671138,1.6125949897620746,0.15330501023792542,0.8841060590489682,0.8817939409510318,1.418204705668486,0.3476952943315139,1.7912241953867136,0.0253241953867136,3.7912241953867114,2.0253241953867116
IR3,1.4264906347550228,0.3394093652449772,1.426490634755032,0.3394093652449681,1.4264906347550226,0.33940936524497745,1.4264906347550226,0.33940936524497745,1.4264906347550228,0.3394093652449772,1.1684923450051237,0.5974076549948764,0.5876354462446332,1.1782645537553669,1.2023738253039802,0.5635261746960198,1.426490634755028,0.3394093652449721,3.426490634755023,1.660590634755023
IR4,1.9025952272262292,0.13669522722622918,1.902595227226115,0.13669522722611505,1.9025952272262288,0.13669522722622873,1.9025952272262288,0.13669522722622873,1.9025952272262292,0.13669522722622918,1.8134823779132434,0.04758237791324338,0.9833734350572576,0.7825265649427424,1.1855090373798889,0.5803909626201111,1.902595227226214,0.13669522722621408,3.902595227226229,2.1366952272262294
IR5,0.45777881425043065,1.3081211857495694,0.457778814250428,1.308121185749572,0.45777881425043077,1.3081211857495694,0.45777881425043065,1.3081211857495694,1.4092845876579108,0.35661541234208927,1.0978222458933289,0.6680777541066711,0.25227086499624035,1.5136291350037596,1.1477971567440655,0.6181028432559346,0.4577788142504326,1.3081211857495674,2.457778814250431,0.6918788142504309
IR6,1.9508261282530435,0.18492612825304344,1.9508261282531412,0.18492612825314114,1.9508261282530435,0.18492612825304344,1.9508261282530435,0.18492612825304344,1.9508261282530435,0.18492612825304344,1.9036941033829193,0.1377941033829193,0.9859207076260559,0.7799792923739441,1.4979586317366613,0.2679413682633387,1.9508261282530495,0.18492612825304944,3.9508261282530435,2.1849261282530437
IR7,0.9038192901289059,0.8620807098710941,0.9038192901289068,0.8620807098710932,0.9038192901289055,0.8620807098710945,0.9038192901289057,0.8620807098710943,1.0859773299202078,0.6799226700797922,0.9981180351548716,0.7677819648451284,0.9171571476144751,0.8487428523855249,1.5023299726901573,0.2635700273098427,0.9038192901289096,0.8620807098710904,2.903819290128906,1.1379192901289061
IR8,1.8309166630062783,0.06501666300627829,1.8309166630062805,0.0650166630062805,1.830916663006278,0.06501666300627806,1.830916663006278,0.06501666300627806,1.8309166630062783,0.06501666300627829,1.68659184580279,0.07930815419721005,0.9647569828605828,0.8011430171394173,1.4175299283749347,0.3483700716250653,1.8309166630062879,0.06501666300628783,3.8309166630062785,2.0650166630062783
IR9,1.9024391850048394,0.13653918500483941,1.9024391850048405,0.13653918500484052,1.9024391850048397,0.13653918500483964,1.9024391850048397,0.13653918500483964,1.9024391850048394,0.13653918500483941,1.811129033093413,0.045229033093413085,0.9621639734070251,0.8037360265929749,1.4795624127557503,0.28633758724424974,1.90243918500478,0.1365391850047799,3.902439185004839,2.136539185004839
IR10,1.7774319771605285,0.01153197716052845,1.7774319771604947,0.0115319771604947,1.777431977160529,0.011531977160528895,1.7774319771605283,0.011531977160528228,1.7774319771605285,0.01153197716052845,1.5961252965211374,0.1697747034788626,0.8706875090184387,0.8952124909815613,1.5116586944719699,0.25424130552803015,1.7774319771605458,0.01153197716054577,3.7774319771605285,2.0115319771605282
IR11,0.6954756444234367,1.0704243555765633,0.6954756444234349,1.0704243555765651,0.6954756444234367,1.0704243555765633,0.6954756444234366,1.0704243555765633,1.1462317908000226,0.6196682091999774,0.8987668451134107,0.8671331548865894,0.10666654421224411,1.659233455787756,1.2420126431055174,0.5238873568944826,0.695475644423436,1.070424355576564,2.6954756444234365,0.9295756444234364
IR12,1.3564345759370455,0.4094654240629545,1.3564345759370526,0.4094654240629474,1.3564345759370455,0.4094654240629545,1.3564345759370446,0.4094654240629554,1.3564345759370455,0.4094654240629545,1.108029954334834,0.657870045665166,0.7932001436449825,0.9726998563550175,1.465757549187626,0.300142450812374,1.3564345759370453,0.4094654240629547,3.3564345759370458,1.5905345759370457
IR13,1.809027915706075,0.04312791570607488,1.809027915706094,0.04312791570609398,1.8090279157060745,0.04312791570607444,1.809027915706075,0.04312791570607488,1.809027915706075,0.04312791570607488,1.6492487141679009,0.11665128583209916,0.9506857623964696,0.8152142376035304,1.4214382080935104,0.3444617919064896,1.8090279157060687,0.043127915706068665,3.809027915706075,2.0431279157060747
IR14,1.8741252213346937,0.1082252213346937,1.8741252213347006,0.10822522133470058,1.874125221334694,0.10822522133469392,1.8741252213346937,0.1082252213346937,1.8741252213346937,0.1082252213346937,1.7605973799923738,0.005302620007626269,0.9444562229180818,0.8214437770819182,1.4325617710611005,0.33333822893889953,1.8741252213347068,0.1082252213347068,3.874125221334694,2.1082252213346937
IR15,1.879964579512832,0.11406457951283189,1.87996457951277,0.11406457951276994,1.8799645795128324,0.11406457951283233,1.8799645795128326,0.11406457951283255,1.879964579512832,0.11406457951283189,1.7711872294547015,0.005287229454701503,0.9593302299818394,0.8065697700181607,1.5092725589864218,0.25662744101357826,1.8799645795128521,0.1140645795128521,3.8799645795128317,2.1140645795128314
IR16,1.4279621191855694,0.33793788081443066,1.4279621191855734,0.33793788081442666,1.427962119185569,0.3379378808144311,1.4279621191855687,0.3379378808144313,1.4279621191855694,0.33793788081443066,1.1568360469589656,0.6090639530410344,0.6295995726171457,1.1363004273828543,1.4543739622073801,0.3115260377926199,1.4279621191855723,0.33793788081442777,3.4279621191855694,1.6620621191855693
IR17,1.179461170071503,0.586438829928497,1.1794611700714972,0.5864388299285028,1.1794611700715032,0.5864388299284968,1.1794611700715032,0.5864388299284968,1.179461170071503,0.586438829928497,1.004763060046208,0.761136939953792,0.6507822794331378,1.1151177205668623,1.3676988925844524,0.3982011074155476,1.1794611700714956,0.5864388299285044,3.179461170071503,1.413561170071503
IR18,0.6324008568531746,1.1334991431468255,0.6324008568531971,1.133499143146803,0.6324008568531748,1.133499143146825,0.6324008568531745,1.1334991431468255,1.3451732295916687,0.4207267704083313,1.1047109306793548,0.6611890693206453,0.5507301307693506,1.2151698692306494,1.3410094757589177,0.4248905242410823,0.6324008568531809,1.133499143146819,2.6324008568531747,0.8665008568531747
IR19,1.7736417353711584,0.007741735371158409,1.7736417353711698,0.007741735371169733,1.7736417353711587,0.007741735371158631,1.7736417353711587,0.007741735371158631,1.7736417353711584,0.007741735371158409,1.59202416014186,0.17387583985813992,0.9411849986770169,0.8247150013229831,1.3702551472591205,0.39564485274087957,1.773641735371152,0.00774173537115197,3.773641735371158,2.007741735371158
