,EN,SD,SCD,FMI,MI
count,21.0,21.0,21.0,21.0,21.0
mean,6.822919494380686,73.27381610540485,1.6488233013746656,1.4684118523858916,1.5624514128118516
std,0.32569486698987443,0.48388198868372495,0.2840600374911966,0.46272650095971396,0.3122015902598723
min,6.110103492989806,72.5081141429524,1.105680422174009,0.6450360144232241,0.7923729638278463
25%,6.738206195389621,73.02822148941686,1.431734018486532,1.0821142431934587,1.337088462121005
50%,6.783157687043371,73.18468690133342,1.7816228625719797,1.527035349385749,1.612361089328477
75%,7.001507764817695,73.37768966186722,1.8801475338187958,1.84410210718063,1.734283125836475
max,7.349389037942725,74.71145521568894,1.9809519963315632,2.2208913413187776,2.0036934201987586
