pair_id,EN,SD,SCD,FMI
1,6.8740726738920594,73.02822148941686,1.669547926777811,1.5103806169978782
2,6.110103492989806,73.08272330947686,1.7912241953867114,1.19138474575202
3,6.125996312029444,74.71145521568894,1.4264906347550228,1.0483561377233093
4,6.749805691569655,72.69242832246753,1.9025952272262292,2.086217107431407
5,6.853410012047469,73.28613014599031,0.45777881425043065,1.0821142431934587
6,6.778589955238636,73.28284423464088,1.9508261282530435,1.6128959729409156
7,6.738206195389621,72.83995872103877,0.9038192901289059,1.8615301513444396
8,7.28112018238938,73.18468690133342,1.8309166630062783,2.2208913413187776
9,6.76895271229706,73.5796864072687,1.9024391850048394,1.8867582573044122
10,6.427610807073627,73.15307635015883,1.7774319771605285,1.2227195528089578
11,6.638772020121741,73.47560395450495,0.6954756444234367,1.84410210718063
12,7.23575415247645,73.12926209302027,1.3564345759370455,1.002439680700988
13,6.783157687043371,72.5081141429524,1.809027915706075,1.5981014503001079
14,6.76880927697103,73.32485875013286,1.8741252213346937,1.7534827199690508
15,7.027858791552598,73.1941773219634,1.879964579512832,1.759503736861935
16,7.349389037942725,73.37768966186722,1.4279621191855694,0.8283717263849235
17,6.907315719531451,73.0216065195139,1.179461170071503,0.6815741036485089
18,6.932717742793957,72.90737938573331,0.6324008568531746,0.6450360144232241
19,6.717477400874151,73.12330803559644,1.7736417353711584,1.48783432442405
20,7.210681752952504,74.19213368592115,1.7987563064845717,1.527035349385749
21,7.001507764817695,73.65479356481488,1.971740502581623,1.9859195600089818
