,EN,SD
count,3.0,3.0
mean,6.370057492970436,73.60746667152756
std,0.4365622777724262,0.9564704079725345
min,6.110103492989806,73.02822148941686
25%,6.118049902509625,73.05547239944687
50%,6.125996312029444,73.08272330947686
75%,6.500034492960752,73.89708926258291
max,6.8740726738920594,74.71145521568894
